List of opcodes
Jump to navigationJump to search
This is a list of all opcodes, including nops and unsupported ones, in GTA III, Vice City, and San Andreas. Brief descriptions and notes are added to the list for quick and easy access to information.

Opcode	Games	P	Parameter type	Brief description	Notes
035C	GTA III Vice City San Andreas	5	object handle, car handle, flt, flt, flt	place object relative to car	
035D	GTA III Vice City
San Andreas	1
2	object handle
object handle, int	make object targettable	
035E	GTA III Vice City	2	player handle, int	add armour to player	
035F	GTA III Vice City San Andreas	2	char handle, int	add armour to char	
0360	GTA III Vice City San Andreas	1	garage handle	open garage	
0361	GTA III Vice City San Andreas	1	garage handle	close garage	
0362	GTA III Vice City San Andreas	4	char handle, flt, flt, flt	warp char from car to coord	
0363	GTA III Vice City San Andreas	6	flt, flt, flt, flt, int, int	set visibility of closest object of type	
0364	GTA III San Andreas	2	char handle, char handle	has char spotted char	
0365	GTA III Vice City	1	char handle	set char obj hail taxi	
0366	GTA III Vice City San Andreas	1	object handle	has object been damaged	
0367	GTA III	9	string, int, int, int, int, int, int, int, int	start headshot rampage	restored in VC
0368	GTA III	10	flt, flt, flt, flt, flt, flt, flt, flt, flt, flt	create ev crane	restored in VC
0369	GTA III Vice City	2	player handle, car handle	warp player into car	
036A	GTA III Vice City San Andreas	2	char handle, car handle	warp char into car	
036B	unsupported	-			
036C	unsupported	-			
036D	GTA III Vice City San Andreas	5	string, int, int, int, int	print text with 2 numbers big	
036E	GTA III	6	string, int, int, int, int, int	print text with 3 numbers big	restored in VC
036F	GTA III	7	string, int, int, int, int, int, int	print text with 4 numbers big	restored in VC
0370	GTA III	8	string, int, int, int, int, int, int, int	print text with 5 numbers big	restored in VC
0371	GTA III	9	string, int, int, int, int, int, int, int, int	print text with 6 numbers big	restored in VC
0372	GTA III Vice City	3	char handle, int, int	set char wait state	
0373	GTA III Vice City San Andreas	0		set camera behind player	
0374	GTA III	1	int	set motion blur	
0375	GTA III	4		print string in string	
0376	GTA III Vice City San Andreas	4	flt, flt, flt, var	create random char	parameters rearranged in SB
0377	GTA III Vice City	1	char handle	set char obj steal any car	
0378	GTA III	3		set 2 repeated phone messages	restored in VC
0379	GTA III	3		set 2 phone messages	restored in VC
037A	GTA III	4		set 3 repeated phone messages	restored in VC
037B	GTA III	4		set 3 phone messages	restored in VC
037C	GTA III	5		set 4 repeated phone messages	restored in VC
037D	GTA III	5		set 4 phone messages	restored in VC
037E	GTA III Vice City	6	flt, flt, flt, flt, flt, flt	is sniper bullet in area	
037F	GTA III	0		give player detonator	restored in VC
0380	unsupported	-			
0381	GTA III Vice City San Andreas	4	object handle, flt, flt, flt	set object velocity	
0382	GTA III Vice City San Andreas	2	object handle, int	set object collision	
0383	GTA III Vice City	1	car handle	is ice cream jingle on	
0384	GTA III Vice City San Andreas	4	string, string, int, int	print string in string now	
0385	San Andreas	4	string, string, int, int	print string in string soon	
0386	GTA III	6		set 5 repeated phone messages	restored in VC
0387	GTA III	6		set 5 phone messages	restored in VC
0388	GTA III	7		set 6 repeated phone messages	restored in VC
0389	GTA III	7		set 6 phone messages	restored in VC
038A	GTA III Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	is point obscured by a mission entity	
038B	GTA III Vice City San Andreas	0		load all models now	
038C	GTA III Vice City San Andreas	4	object handle, flt, flt, flt	add to object velocity	
038D	GTA III Vice City San Andreas	9	int, flt, flt, flt, flt, int, int, int, int	draw texture	
038E	GTA III Vice City San Andreas	8	flt, flt, flt, flt, int, int, int, int	draw rectangle	
038F	GTA III Vice City San Andreas	2	int, string	get texture from txd	parameters rearranged in SB in San Andreas
0390	GTA III Vice City San Andreas	1	string	load txd	
0391	GTA III Vice City San Andreas	0		release txd	
0392	GTA III Vice City San Andreas	2	object handle, int	set object dynamic	
0393	GTA III
San Andreas	2
3	char handle, flt
char handle, string, flt	set char animation speed	restored in VC
0394	GTA III Vice City San Andreas	1	int	play mission passed tune	
0395	GTA III Vice City San Andreas	5	flt, flt, flt, flt, int	clear area	parameters rearranged in SB
0396	GTA III Vice City San Andreas	1	global var	freeze onscreen timer	
0397	GTA III Vice City San Andreas	2	car handle, int	switch car siren	
0398	GTA III	7	flt, flt, flt, flt, flt, flt, flt	switch ped roads on angled	
0399	GTA III	7	flt, flt, flt, flt, flt, flt, flt	switch ped roads off angled	
039A	GTA III	7	flt, flt, flt, flt, flt, flt, flt	switch roads on angled	
039B	GTA III	7	flt, flt, flt, flt, flt, flt, flt	switch roads off angled	
039C	GTA III Vice City San Andreas	2	car handle, int	set car watertight	
039D	GTA III Vice City	12	int, flt, flt, flt, flt, flt, flt, flt, int, int, int, int	add moving particle effect	parameters rearranged in SB
039E	GTA III Vice City San Andreas	2	char handle, int	set char cant be dragged out	
039F	GTA III Vice City San Andreas	3	car handle, flt, flt	turn car to face coord	
03A0	GTA III	3	car handle, flt, flt	is crane lifting car	restored in VC
03A1	GTA III Vice City San Andreas	4	flt, flt, flt, flt	show sphere at coord	
03A2	GTA III Vice City San Andreas	2	car handle, int	set car status	
03A3	GTA III Vice City San Andreas	1	char handle	is char male	
03A4	GTA III Vice City San Andreas	1	string	script name	
03A5	GTA III	3	garage handle, int, int	change garage type with car model	restored in VC
03A6	GTA III	3	var, var, var	find incoming cessna coordinates	
03A7	GTA III Vice City San Andreas	1	nop	no operation (saved integer to debug file)	
03A8	GTA III Vice City San Andreas	1	nop	no operation (saved float to debug file)	used in mobile GTA III debug
03A9	GTA III Vice City San Andreas	0	nop	no operation (save newline to debug file)	used in mobile GTA III debug
03AA	GTA III Vice City	3	flt, flt, flt	police radio message	
03AB	GTA III Vice City San Andreas	2	car handle, int	set car strong	
03AC	GTA III Vice City	1	int	remove route	
03AD	GTA III Vice City	1	int	switch rubbish	
03AE	GTA III Vice City	6	flt, flt, flt, flt, flt, flt	remove particle effects in area	
03AF	GTA III Vice City San Andreas	1	int	switch streaming	
03B0	GTA III Vice City San Andreas	1	garage handle	is garage open	
03B1	GTA III Vice City San Andreas	1	garage handle	is garage closed	
03B2	GTA III	0		start catalina heli	
03B3	GTA III	0		catalina heli take off	
03B4	GTA III	0		remove catalina heli	
03B5	GTA III	0		has catalina heli been shot down	
03B6	GTA III Vice City San Andreas	6	flt, flt, flt, flt, int, int	swap nearest building model	
03B7	GTA III Vice City San Andreas	1	int	switch world processing	
03B8	GTA III Vice City	1	player handle	remove all player weapons	
03B9	GTA III	1	car handle	grab catalina heli	
03BA	GTA III Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	clear area of cars	
03BB	GTA III Vice City	1	garage handle	set garage door to rotate	
03BC	GTA III Vice City San Andreas	5	flt, flt, flt, flt, var	add sphere	parameters rearranged in SB
03BD	GTA III Vice City San Andreas	1	sphere handle	remove sphere	
03BE	GTA III	0		catalina heli hover above	
03BF	GTA III Vice City San Andreas	2	player handle, int	set everyone ignore player	
03C0	GTA III Vice City San Andreas	2	char handle, var	store car char is in no save	parameters rearranged in SB
03C1	GTA III Vice City	2	player handle, var	store car player is in no save	parameters rearranged in SB
03C2	GTA III	1	phone handle	is phone displaying message	restored in VC
03C3	GTA III
Vice City San Andreas	2
3	global var, string
global var, int, string	display onscreen timer with string	
03C4	GTA III Vice City San Andreas	3	global var, int, string	display onscreen counter with string	
03C5	GTA III Vice City San Andreas	4	flt, flt, flt, flt	create random car for car park	
03C6	GTA III	1	int	is collision in memory	restored in VC
03C7	GTA III Vice City San Andreas	1	flt	set wanted multiplier	
03C8	GTA III Vice City San Andreas	0		set camera in front of player	
03C9	GTA III	1	car handle	is car visibly damaged	restored in VC
03CA	GTA III Vice City San Andreas	1	object handle	does object exist	
03CB	GTA III Vice City San Andreas	3	flt, flt, flt	load scene	
03CC	GTA III Vice City San Andreas	3	car handle, flt, int	add stuck car check	
03CD	GTA III Vice City San Andreas	1	car handle	remove stuck car check	
03CE	GTA III Vice City San Andreas	1	car handle	is car stuck	
03CF	GTA III
Vice City San Andreas	1
2	string
int, string	load mission audio	parameters rearranged in SB
03D0	GTA III
Vice City San Andreas	0
1	
int	has mission audio loaded	
03D1	GTA III
Vice City San Andreas	0
1	
int	play mission audio	
03D2	GTA III
Vice City San Andreas	0
1	
int	has mission audio finished	
03D3	GTA III Vice City San Andreas	7	flt, flt, flt, var, var, var, var	get closest car node with heading	
03D4	GTA III Vice City	2	garage handle, car handle	has import garage slot been filled	
03D5	GTA III Vice City San Andreas	1	string	clear this print	
03D6	GTA III Vice City San Andreas	1	string	clear this big print	
03D7	GTA III
Vice City San Andreas	3
4	flt, flt, flt
int, flt, flt, flt	set mission audio position	
03D8	GTA III Vice City San Andreas	0		activate save menu	
03D9	GTA III Vice City San Andreas	0		did save complete successfully	
03DA	GTA III Vice City	1	garage handle	set garage camera follows player	
03DB	GTA III	4	object handle, int, int, var	add blip with properties for pickup	restored in VC
03DC	GTA III Vice City San Andreas	2	pickup handle, var	add blip for pickup	parameters rearranged in SB
03DD	GTA III	3	pickup handle, int, var	add blip sprite for pickup	restored in VC
03DE	GTA III Vice City San Andreas	1	flt	set ped density multiplier	
03DF	GTA III Vice City	1	int	force random ped type	
03E0	GTA III San Andreas	1	int	set text draw before fade	
03E1	GTA III Vice City	1	var	get number of packages found	
03E2	GTA III
Vice City	1
1	int
char handle	register el burro time
task char exit any car	
03E3	GTA III Vice City San Andreas	1	int	set next texture antialiased	
03E4	GTA III Vice City San Andreas	1	int	set text right justify	
03E5	GTA III Vice City San Andreas	1	string	print help	
03E6	GTA III Vice City San Andreas	0		clear help	
03E7	GTA III Vice City San Andreas	1	int	flash hud object	
03E8	unsupported	-			
03E9	GTA III	1	char handle	is char in control	restored in VC
03EA	GTA III Vice City	1	int	set generate cars around camera	
03EB	GTA III Vice City San Andreas	0		clear small prints	
03EC	GTA III	0		has ev crane collected all cars	restored in VC
03ED	GTA III Vice City San Andreas	2	car handle, int	set upsidedown car not damaged	
03EE	GTA III Vice City San Andreas	1	player handle	can player start mission	
03EF	GTA III Vice City San Andreas	1	player handle	make player safe for cutscene	only use before cutscenes
03F0	GTA III Vice City San Andreas	1	int	use text commands	
03F1	GTA III Vice City	2	int, int	set threat for ped type	
03F2	GTA III Vice City	2	int, int	clear threat for ped type	
03F3	GTA III Vice City San Andreas	3	car handle, var, var	get car colours	
03F4	GTA III Vice City San Andreas	1	int	set all cars can be damaged	
03F5	GTA III Vice City San Andreas	2	car handle, int	set car can be damaged	
03F6	unsupported	-			
03F7	GTA III	1	int	load collision	
03F8	GTA III	1	var	get body cast health	used in Liberty City mod for VC
03F9	GTA III Vice City	3	char handle, char handle, int	set chars chatting	
03FA	unsupported	-			
03FB	GTA III	2	car handle, int	set car stays in current level	restored in VC
03FC	GTA III	2	char handle, int	set char stays in current level	restored in VC
03FD	GTA III
Vice City San Andreas	1
2	int
player handle, int	register 4x4 one time
set player handling responsiveness	
03FE	GTA III
Vice City San Andreas	1
2	int
char handle, int	register 4x4 two time
set char money	
03FF	GTA III	1	int	register 4x4 three time	
0400	GTA III
Vice City San Andreas	1
7	int
object handle, flt, flt, flt, var, var, var	register 4x4 mayhem time
get offset from object in world coords	parameters rearranged in SB
0401	GTA III Vice City	0		register life saved	
0402	GTA III Vice City	0		register criminal caught	
0403	GTA III Vice City	1	int	register ambulance level	
0404	GTA III Vice City	0		register fire extinguished	
0405	GTA III Vice City	1	phone handle	enable phone	
0406	GTA III	1	int	register longest dodo flight	
0407	GTA III
Vice City San Andreas	1
7	int
car handle, flt, flt, flt, var, var, var	register defuse bomb time
get offset from car in world coords	parameters rearranged in SB
0408	GTA III Vice City	1	int	set total number of rampages	
0409	GTA III Vice City	0		blow up rc buggy	
040A	GTA III	1	int	remove car from chase scene	
040B	GTA III Vice City	0		is French game	
040C	GTA III Vice City San Andreas	0		is German game	
040D	GTA III
Vice City San Andreas	0
1	
int	clear mission audio	
040E	GTA III	1	int	set fade in after next arrest	
040F	GTA III	1	int	set fade in after next death	
0410	GTA III	2	int, int	set gang ped model preference	restored in VC
0411	GTA III Vice City	2	char handle, int	set char use pednode seek	
0412	GTA III	2	car handle, int	switch vehicle weapons	
0413	GTA III	2	player handle, int	set get out of jail free	restored in VC
0414	GTA III Vice City San Andreas	2	player handle, int	set free health care	
0415	GTA III	2	car handle, int	is car door closed	restored in VC
0416	GTA III Vice City	0	nop	no operation	
0417	GTA III Vice City San Andreas	1	int	launch mission	
0418	GTA III Vice City San Andreas	2	object handle, int	set object draw last	
0419	GTA III Vice City	3	player handle, int, var	get ammo in player weapon	parameters rearranged in SB
041A	GTA III	3	char handle, int, var	get ammo in char weapon	
041B	GTA III	0		increment rampage passed	restored in VC
041C	GTA III	2	char handle, int	set char say	restored in VC
041D	GTA III Vice City San Andreas	1	flt	set near clip	
041E	GTA III Vice City San Andreas	2	int, int	set radio channel	
041F	GTA III	1	int	override hospital level	restored in VC
0420	GTA III	1	int	override police station level	restored in VC
0421	GTA III	1	int	force rain	restored in VC
0422	GTA III	2	garage handle, car handle	does garage contain car	restored in VC
0423	GTA III Vice City San Andreas	2	car handle, flt	set car improve handling	
0424	GTA III Vice City San Andreas	0		are measurements in meters	
0425	GTA III Vice City San Andreas	2	flt, var	convert meters to feet	parameters rearranged in SB
0426	GTA III	6	flt, flt, flt, flt, flt, flt	mark roads between levels	
0427	GTA III	6	flt, flt, flt, flt, flt, flt	mark ped roads between levels	
0428	GTA III Vice City San Andreas	2	car handle, int	set car avoid level transitions	
0429	GTA III	2	char handle, int	set char avoid level transitions	
042A	GTA III	2	int, int	is threat for ped type	restored in VC
042B	GTA III Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	clear area of chars	
042C	GTA III Vice City San Andreas	1	int	set total missions	
042D	GTA III Vice City San Andreas	2	int, var	convert meters to feet int	parameters rearranged in SB
042E	GTA III Vice City San Andreas	2	int, int/flt	register fastest time	
042F	GTA III Vice City	2	int, int/flt	register highest score	
0430	San Andreas	3	char handle, car handle, int	warp char into car as passenger	
0431	GTA III Vice City San Andreas	2	car handle, int	is car passenger seat free	
0432	GTA III San Andreas	3	car handle, int, var	get char in passenger seat	restored in VC
0433	GTA III Vice City San Andreas	2	char handle, int	set char is criminal	
0434	GTA III Vice City San Andreas	0		start credits	
0435	GTA III Vice City San Andreas	0		stop credits	
0436	GTA III Vice City San Andreas	0		are credits finished	
0437	GTA III Vice City	8	int, flt, flt, flt, flt, flt, flt, flt	scatter single particle	parameters rearranged in SB
0438	GTA III	2	char handle, int	set char ignore level transitions	restored in VC
0439	GTA III	2	int, car handle	turn chase car into script car	
043A	GTA III	0		start boat foam animation	
043B	GTA III	1	object handle	update boat foam animation	
043C	GTA III Vice City San Andreas	1	int	set music does fade	
043D	GTA III	1	int	set intro is playing	
043E	GTA III Vice City	2	player handle, char handle	set player hooker	
043F	GTA III Vice City	0		play end of game tune	
0440	GTA III Vice City	0		stop end of game tune	
0441	GTA III Vice City San Andreas	2	car handle, var	get car model	parameters rearranged in SB
0442	GTA III Vice City	2	player handle, car handle	is player sitting in car	
0443	GTA III Vice City	1	player handle	is player sitting in any car	
0444	GTA III	2	fire handle, int	set script fire audio	restored in VC
0445	GTA III Vice City San Andreas	0		are any car cheats activated	
0446	GTA III Vice City San Andreas	2	char handle, int	set char dismemberment	
0447	GTA III	1	player handle	is player lifting a phone	restored in VC
0448	GTA III Vice City San Andreas	2	char handle, car handle	is char sitting in car	
0449	GTA III Vice City San Andreas	1	char handle	is char sitting in any car	
044A	GTA III Vice City	1	player handle	is player on foot	
044B	GTA III Vice City San Andreas	1	char handle	is char on foot	
044C	GTA III	1	int	load collision with screen	
044D	GTA III Vice City	1	string	load splash screen	
044E	GTA III	2	car handle, int	set car ignore level transitions	restored in VC
044F	GTA III	2	car handle, int	make car a bit stronger	restored in VC
0450	GTA III Vice City	1	car handle	set car on path to player	
0451	GTA III Vice City	0		load end of game tune	
0452	GTA III	0		enable player control camera	restored in VC
0453	GTA III Vice City San Andreas	4	object handle, flt, flt, flt	set object rotation	
0454	GTA III Vice City San Andreas	3	var, var, var	get debug camera coordinates	
0455	GTA III	3	var, var, var	get debug camera front vector	
0456	GTA III	1	player handle	is player targetting any char	
0457	GTA III Vice City San Andreas	2	player handle, char handle	is player targetting char	
0458	GTA III San Andreas	2	player handle, object handle	is player targetting object	
0459	GTA III Vice City San Andreas	1	string	terminate all scripts with this name	
045A	GTA III Vice City San Andreas	4	flt, flt, string, int	display text with number	
045B	GTA III Vice City San Andreas	5	flt, flt, string, int, int	display text with 2 numbers	
045C	GTA III Vice City San Andreas	0		fail current mission	
045D	GTA III
Vice City	6
0	flt, flt, flt, flt, int, var
nop	get random object of type in area
no operation	
045E	GTA III	5	object handle, object handle, flt, flt, flt	place object relative to object	
045F	GTA III Vice City	1	car handle	make all occupants of specified car to exit the car	
0460	GTA III Vice City San Andreas	2	flt, int	set interpolation parameters	
0461	GTA III	9		get closest car node with heading towards point	
0462	GTA III	9		get closest car node with heading away point	
0463	GTA III Vice City San Andreas	3	var, var, var	get debug camera point at	
0464	GTA III Vice City San Andreas	8	char handle, car handle, flt, flt, flt, int, flt, int	attach char to car	
0465	GTA III Vice City San Andreas	1	char handle	detach char from car	
0466	GTA III Vice City San Andreas	2	car handle, int	set car change lane	
0467	GTA III Vice City San Andreas	1	char handle	clear char last weapon damage	
0468	GTA III Vice City San Andreas	1	car handle	clear car last weapon damage	
0469	GTA III Vice City	10	flt, flt, flt, flt, int, int, int, int, int, var	get law enforcement in area	parameters rearranged in SB
046A	GTA III	2	string, var	get law enforcement in zone	
046B	GTA III Vice City	2	char handle, car handle	task leave car by any means	
046C	GTA III Vice City San Andreas	2	car handle, var	get driver of car	parameters rearranged in SB
046D	GTA III Vice City San Andreas	2	char handle, var	get char number of followers	parameters rearranged in SB
046E	GTA III Vice City San Andreas	6	player handle, flt, flt, flt, flt, int	give remote controlled model to player	
046F	GTA III Vice City	2	player handle, var	get current player weapon	
0470	GTA III Vice City San Andreas	2	char handle, var	get current char weapon	parameters rearranged in SB
0471	GTA III Vice City San Andreas	5	char handle, object handle, flt, flt, int	locate char any means object 2d	
0472	GTA III Vice City San Andreas	5	char handle, object handle, flt, flt, int	locate char on foot object 2d	
0473	GTA III Vice City San Andreas	5	char handle, object handle, flt, flt, int	locate char in car object 2d	
0474	GTA III Vice City San Andreas	6	char handle, object handle, flt, flt, flt, int	locate char any means object 3d	
0475	GTA III Vice City San Andreas	6	char handle, object handle, flt, flt, flt, int	locate char on foot object 3d	
0476	GTA III Vice City San Andreas	6	char handle, object handle, flt, flt, flt, int	locate char in car object 3d	
0477	GTA III Vice City San Andreas	3	car handle, int, int	set car driving behavior	
0478	GTA III	2	car handle, int	set car handbrake turn right	
0479	GTA III	2	car handle, int	set car handbrake stop	
047A	GTA III Vice City San Andreas	1	char handle	is char on any bike	
047B	GTA III	5	flt, flt, flt, flt, int	locate sniper bullet 2d	
047C	GTA III	7	flt, flt, flt, flt, flt, flt, int	locate sniper bullet 3d	
047D	GTA III	2	int, var	get number of seats in model	restored in VC
047E	GTA III Vice City	1	player handle	is player on any bike	
047F	GTA III	1	char handle	is char lying down	
0480	GTA III Vice City San Andreas	2	char handle, int	is char looking at death of char with pedtype	
0481	GTA III Vice City	1	flt	set enter car range multiplier	
0482	GTA III Vice City	1	flt	set threat reaction range multiplier	last opcode available for GTA III PC
0483	Vice City	2	char handle, int	set char chase attack timer	
0484	Vice City San Andreas	2	player handle, var	get remote controlled car	parameters rearranged in SB
0485	Vice City San Andreas	0		check if game is PC version	
0486	unsupported	-			
0487	unsupported	-			
0488	Vice City San Andreas	1	int	is model available	
0489	Vice City San Andreas	2	char handle, int	shut character up	
048A	Vice City San Andreas	1	int	set enable rc detonate	
048B	Vice City San Andreas	2	car handle, int	set car random route seed	
048C	Vice City San Andreas	3	flt, flt, flt	is any pickup at coords	
048D	unsupported	-			
048E	unsupported	-			
048F	Vice City San Andreas	1	char handle	remove all char weapons	
0490	Vice City	2	player handle, int	has player got weapon	
0491	San Andreas	2	char handle, int	has char got weapon	
0492	unsupported	-			
0493	Vice City	2	car handle, int	set tank detonate cars	
0494	Vice City San Andreas	5	int, var, var, var, var	get joystick data	
0495	Vice City San Andreas	1	car handle	is car on fire	
0496	Vice City San Andreas	2	car handle, int	is car tyre burst	
0497	unsupported	-			
0498	unsupported	-			
0499	unsupported	-			
049A	unsupported	-			
049B	unsupported	-			
049C	Vice City	3	int, flt, var	initialise script path	parameters rearranged in SB
049D	Vice City	2	object handle, path handle	attach object to script path	parameters rearranged in SB
049E	Vice City	2	path handle, flt	set script path speed	
049F	Vice City	2	path handle, flt	set script path distance	
04A0	unsupported	-			
04A1	Vice City San Andreas	1	path handle	clear script path	
04A2	Vice City
San Andreas	5
6	car handle, flt, flt, flt, int
car handle, flt, flt, flt, flt, flt	set heli fly to coord	
04A3	Vice City San Andreas	2			
04A4	Vice City San Andreas	2			
04A5	Vice City San Andreas	4	char handle, flt, flt, flt	get random drop position from char	
04A6	Vice City San Andreas	6	flt, flt, flt, int, int, var	create protection pickup	parameters rearranged in SB
04A7	San Andreas	1	char handle	is char in any boat	restored in VC
04A8	Vice City	1	player handle	is player in any boat	
04A9	San Andreas	1	char handle	is char in any heli	restored in VC
04AA	Vice City	1	player handle	is player in any heli	
04AB	San Andreas	1	char handle	is char in any plane	restored in VC
04AC	Vice City	1	player handle	is player in any plane	
04AD	Vice City San Andreas	1	char handle	is char in water	
04AE	Vice City San Andreas	2			
04AF	Vice City San Andreas	2			
04B0	Vice City San Andreas	2			
04B1	Vice City San Andreas	2			
04B2	Vice City San Andreas	2			
04B3	Vice City San Andreas	2			
04B4	Vice City San Andreas	2			
04B5	Vice City San Andreas	2			
04B6	Vice City San Andreas	2			
04B7	Vice City San Andreas	2			
04B8	Vice City San Andreas	5	char handle, int, var, var, var	get char weapon in slot	
04B9	Vice City San Andreas	12	flt, flt, flt, flt, flt, var, var, var, var, var, var, var	get closest straight road	
04BA	Vice City San Andreas	2	car handle, flt	set car forward speed	
04BB	Vice City San Andreas	1	int	set interior	
04BC	Vice City	1	string	set cutscene animation to loop	
04BD	Vice City San Andreas	2	car handle, int	mark car as convoy car	
04BE	Vice City	1	player handle	reset player chaos level	
04BF	Vice City	2	player handle, var	get player chaos level	parameters rearranged in SB
04C0	Vice City San Andreas	6	flt, flt, flt, flt, flt, flt	create police roadblock	
04C1	Vice City San Andreas	0		release police roadblock	
04C2	Vice City	2	char handle, char handle	task char go to char	
04C3	unsupported	-			
04C4	Vice City San Andreas	7	char handle, flt, flt, flt, var, var, var	get offset from char in world coords	parameters rearranged in SB
04C5	Vice City San Andreas	1	char handle	has char been photographed	
04C6	Vice City	2	char handle, char handle	task aim gun at char	
04C7	Vice City	1	int	set green scanlines	
04C8	San Andreas	1	char handle	is char in flying vehicle	restored in VC
04C9	Vice City	1	player handle	is player in flying vehicle	
04CA	unsupported	-			
04CB	unsupported	-			
04CC	unsupported	-			restored in VC
04CD	unsupported	-			restored in VC
04CE	Vice City San Andreas	5	flt, flt, flt, int, var	create icon marker	parameters rearranged in SB
04CF	Vice City	1	int	add to money spent on fashion stat	
04D0	Vice City San Andreas	2	car handle, flt	force heli looking angle	
04D1	Vice City San Andreas	1	car handle	reset heli looking angle	
04D2	Vice City
San Andreas	5
6	car handle, flt, flt, flt, int
car handle, flt, flt, flt, flt, flt	set plane fly to coord	
04D3	Vice City San Andreas	7	flt, flt, flt, int, var, var, var	get Nth closest car node	
04D4	unsupported	-			
04D5	Vice City San Andreas	9	flt, flt, flt, flt, int, int, int, int, int	draw corona	
04D6	Vice City San Andreas	1	int	set enable rc detonate on contact	
04D7	Vice City San Andreas	2	char handle, int	freeze char position	
04D8	Vice City San Andreas	2	char handle, int	set char drowns in water	
04D9	Vice City San Andreas	2	object handle, int	set object records collisions	
04DA	Vice City San Andreas	1	object handle	has object collided with anything	
04DB	Vice City San Andreas	0		remove rc buggy	
04DC	unsupported	-			
04DD	Vice City San Andreas	2	char handle, var	get char armour	parameters rearranged in SB
04DE	unsupported	-			
04DF	Vice City San Andreas	2	car handle, int	set heli stabiliser	
04E0	Vice City San Andreas	2	car handle, int	set car straight line distance	
04E1	Vice City San Andreas	1	car handle	open and freeze car trunk	
04E2	Vice City	2	player handle, int	shut player up	
04E3	Vice City San Andreas	3	player handle, int, int	set player mood	
04E4	Vice City San Andreas	2	flt, flt	request collision	
04E5	Vice City San Andreas	6	object handle, flt, flt, flt, flt, int	locate object 2d	
04E6	Vice City San Andreas	8	object handle, flt, flt, flt, flt, flt, flt, int	locate object 3d	
04E7	Vice City San Andreas	1	object handle	is object in water	
04E8	unsupported	-			
04E9	Vice City San Andreas	6	object handle, flt, flt, flt, flt, int	is object in area 2d	
04EA	Vice City San Andreas	8	object handle, flt, flt, flt, flt, flt, flt, int	is object in area 3d	
04EB	Vice City San Andreas	3	char handle, int, int	task duck	
04EC	Vice City	13	string, int, int, int, int, int, int, int, int, int, int, int, int	set zone car class info	
04ED	Vice City San Andreas	1	string	request anims	
04EE	Vice City San Andreas	1	string	have anims loaded	
04EF	Vice City San Andreas	1	string	remove anims	
04F0	Vice City San Andreas	1	char handle	is char waiting for world collision	
04F1	Vice City San Andreas	1	car handle	is car waiting for world collision	
04F2	unsupported	-			
04F3	Vice City	1	char handle	set char shuffle into drivers seat	
04F4	Vice City San Andreas	8	char handle, object handle, flt, flt, flt, int, flt, int	attach char to object	
04F5	Vice City	3	char handle, player handle, int	set char as player friend	
04F6	unsupported	-			
04F7	Vice City San Andreas	4	global var, int, int, string	display nth onscreen counter with string	
04F8	Vice City San Andreas	13	int, flt, flt, flt, flt, flt, flt, flt, flt, flt, flt, flt, flt	define police trigger	
04F9	Vice City San Andreas	2	int, int	set sky colors	
04FA	Vice City San Andreas	1	int	reset interior colors	
04FB	unsupported	-			
04FC	Vice City San Andreas	7	player handle, var, var, var, var, var, var	store stunt data	
04FD	unsupported	-			
04FE	Vice City San Andreas	2	car handle, int	burst car tyre	
04FF	Vice City	1	char handle	is char obj no obj	
0500	Vice City
San Andreas	2
3	player handle, string
player handle, string, string	change player skin	
0501	Vice City San Andreas	2	player handle, int	set player can do drive by	
0502	Vice City	3	char handle, flt, flt	task flee to point	
0503	Vice City San Andreas	3	flt, flt, flt	create rappel	
0504	unsupported	-			
0505	unsupported	-			
0506	Vice City San Andreas	3	int, int, int	set car model components	
0507	Vice City	1	int	set camera interference	
0508	Vice City San Andreas	1	car handle	close all car doors	
0509	Vice City San Andreas	5	flt, flt, flt, flt, var	get distance between coords 2d	parameters rearranged in SB
050A	Vice City San Andreas	7	flt, flt, flt, flt, flt, flt, var	get distance between coords 3d	parameters rearranged in SB
050B	Vice City	1	car handle	pop car boot	
050C	unsupported	-			
050D	Vice City	1	char handle	is char shot in vehicle	
050E	Vice City San Andreas	2	object handle, car handle	detach object from car	
050F	San Andreas	1	var	get max wanted level	restored in III and VC
0510	Vice City	5	char handle, flt, flt, flt, flt	is char wander path clear	
0511	unsupported	-			restored in III and VC
0512	Vice City San Andreas	1	string	print help forever	
0513	San Andreas	2	string, int	print help forever with number	restored in VC
0514	Vice City	3	char handle, int, int	set char can be damaged by gang members	
0515	Vice City	1	label	load and launch mission exclusive	
0516	unsupported	-			
0517	Vice City San Andreas	5	string, flt, flt, flt, var	create locked property pickup	parameters rearranged in SB
0518	Vice City San Andreas	6	string, flt, flt, flt, int, var	create forsale property pickup	parameters rearranged in SB
0519	Vice City San Andreas	2	car handle, int	freeze car position	
051A	Vice City San Andreas	2	char handle, char handle	has char been damaged by char	
051B	San Andreas	2	char handle, car handle	has char been damaged by car	
051C	San Andreas	2	car handle, char handle	has car been damaged by char	
051D	San Andreas	2	car handle, car handle	has car been damaged by car	
051E	San Andreas	1	var	get radio channel	
051F	unsupported	-			
0520	unsupported	-			
0521	Vice City	1	char handle	is char drowning in water	
